"","S12000005","S12000006","S12000008","S12000010","S12000011","S12000013","S12000014","S12000015","S12000017","S12000018","S12000019","S12000020","S12000021","S12000023","S12000024","S12000026","S12000027","S12000028","S12000029","S12000030","S12000033","S12000034","S12000035","S12000036","S12000038","S12000039","S12000040","S12000041","S12000042","S12000044","S12000045","S12000046"
"S12000005",8,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,2,0,1,0,0,0,0,0,0
"S12000006",0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2
"S12000008",0,0,15,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,4
"S12000010",0,0,0,12,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1
"S12000011",0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,1,0,0,0,0,0,15
"S12000013",0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000014",0,0,0,0,0,0,19,2,0,0,1,0,0,0,1,0,0,0,1,5,0,0,0,8,0,0,3,0,0,4,0,4
"S12000015",2,0,0,0,0,0,0,73,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,14,0,0,1,1,8,0,0,3
"S12000017",0,1,0,0,1,1,0,0,94,0,0,0,0,1,0,1,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
"S12000018",0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,7
"S12000019",0,0,0,1,0,0,1,1,0,0,8,0,0,0,0,2,0,0,1,0,0,0,0,23,0,0,1,0,0,0,0,2
"S12000020",0,0,0,0,0,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"S12000021",0,0,2,0,0,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1
"S12000023",0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000024",1,0,0,0,1,0,0,1,0,0,0,0,0,0,38,0,0,0,0,1,1,1,0,5,0,0,1,0,8,0,0,1
"S12000026",0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,30,0,0,2,0,0,0,0,14,0,0,0,0,0,0,0,1
"S12000027",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S12000028",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21,0,0,0,0,0,1,1,0,0,0,0,0,0,3
"S12000029",0,1,0,0,1,0,1,2,0,1,1,0,0,0,1,2,0,1,47,1,0,0,0,9,4,0,0,1,0,8,1,29
"S12000030",2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,1,19,0,0,0,3,0,2,0,0,0,0,0,8
"S12000033",0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,0,0,68,12,0,2,0,0,0,0,3,0,0,0
"S12000034",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,36,49,0,0,0,0,0,0,0,0,0,0
"S12000035",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,24,0,1,1,0,0,0,0,0,6
"S12000036",3,0,1,15,0,0,1,14,2,0,15,0,0,0,2,3,0,1,1,4,0,0,1,325,0,0,10,1,2,1,0,6
"S12000038",0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,1,0,0,0,0,1,22,1,0,0,0,2,0,23
"S12000039",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,13,0,0,0,0,1,13
"S12000040",0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,24,0,0,25,0,1,2,0,4
"S12000041",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,0,0,20,7,0,0,1
"S12000042",0,0,0,0,0,0,0,2,0,1,0,0,0,0,10,0,0,0,0,0,1,0,0,4,0,0,1,7,46,0,0,0
"S12000044",0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,3,3,1,2,0,0,24,1,14
"S12000045",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,0,0,0,3,9,17
"S12000046",0,0,3,1,4,0,6,1,3,1,1,0,4,0,3,0,0,1,10,6,0,0,1,10,11,5,2,2,0,13,7,166
