"","W06000001","W06000002","W06000003","W06000004","W06000005","W06000006","W06000008","W06000009","W06000010","W06000011","W06000012","W06000013","W06000014","W06000015","W06000016","W06000018","W06000019","W06000020","W06000021","W06000022","W06000023","W06000024"
"W06000001",13,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000002",1,49,6,1,0,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
"W06000003",2,7,50,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000004",0,0,7,25,7,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"W06000005",0,2,1,2,42,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000006",0,1,1,1,7,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"W06000008",0,0,0,0,0,0,44,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0
"W06000009",0,0,0,1,0,0,2,50,4,0,0,0,0,0,0,0,0,0,0,1,0,0
"W06000010",0,0,0,0,0,0,4,2,54,9,1,0,0,2,0,0,0,0,0,0,2,0
"W06000011",0,0,0,0,0,0,0,1,8,128,13,2,0,4,0,0,0,1,1,0,3,0
"W06000012",0,0,0,0,0,0,0,0,0,16,39,3,0,1,0,0,0,0,0,2,0,1
"W06000013",0,0,0,0,0,0,0,0,1,3,3,42,9,7,2,0,0,0,0,1,0,0
"W06000014",0,0,0,0,0,0,0,0,0,0,0,9,49,20,1,1,0,0,1,1,0,1
"W06000015",0,0,0,0,0,0,0,1,1,4,0,1,8,256,8,3,0,1,3,8,0,1
"W06000016",0,1,0,0,0,0,0,0,0,2,1,1,4,13,65,3,0,1,0,3,2,3
"W06000018",0,0,0,0,0,0,0,0,1,1,1,0,4,14,4,41,0,1,0,7,0,1
"W06000019",0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,8,1,0,1,1,0
"W06000020",0,0,0,0,0,0,0,0,1,0,0,1,0,4,1,0,0,27,1,7,1,1
"W06000021",0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,5,34,4,0,0
"W06000022",0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,1,0,4,2,48,0,0
"W06000023",0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,2,0,42,0
"W06000024",0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,4,0,0,0,1,1,12
