"data",".variable","median","lower","upper"
"BBC Total (UK)","tau",0.933294416810517,0.892297914744071,0.97392324962322
"BBC Total (UK)","rho",2.38999102608573,2.36798016127831,2.41146685446863
"BBC Total (UK)","delta",-0.287808778665483,-0.309662750911737,-0.266867353321392
"BBC Total (UK)","phi",1.6247312194251,1.50315392591226,1.75509661716648
"Census (E)","tau",1.04213465400299,1.02416450607296,1.06008850795064
"Census (E)","rho",2.40865247069236,2.40386339239615,2.41346671786169
"Census (E)","delta",-0.162388839789556,-0.16852621646226,-0.156292606221393
"Census (E)","phi",0.694637919188191,0.687820833572373,0.701677448808597
"BBC Total (E)","tau",0.869138730639175,0.824401742654505,0.912982425663086
"BBC Total (E)","rho",2.36941519553258,2.34721354828945,2.39228707670516
"BBC Total (E)","delta",-0.28114847664964,-0.305139054305236,-0.256336255459163
"BBC Total (E)","phi",1.50675941519512,1.39573614351204,1.62604535698088
"Census (S)","tau",1.28404577859577,1.19653544611074,1.36814333520627
"Census (S)","rho",2.82849266776067,2.74424956678739,2.90423509097297
"Census (S)","delta",-0.627348069670016,-0.664768707425203,-0.589779732616273
"Census (S)","phi",0.812508736176377,0.744594457183734,0.887057141118832
"BBC Total (S)","tau",1.21750833535248,1.06751799343793,1.36520615828375
"BBC Total (S)","rho",2.2650308604538,2.08424942955733,2.44391985320569
"BBC Total (S)","delta",-0.41971643277024,-0.55096076785568,-0.287121839888195
"BBC Total (S)","phi",1.64470969214859,1.18456366840065,2.33164036275421
"Census (W)","tau",1.28926682772805,1.14764008237628,1.42897376496872
"Census (W)","rho",3.02076970656708,2.95198851699819,3.0889055816696
"Census (W)","delta",-0.434564821919818,-0.475499543032112,-0.392516049137163
"Census (W)","phi",1.5417240017256,1.35195046069635,1.76139908977635
"BBC Total (W)","tau",1.26742403452967,0.992119190182493,1.52840802637844
"BBC Total (W)","rho",2.33263168689396,2.08578408201732,2.58053351914238
"BBC Total (W)","delta",-0.561320134608661,-0.717984443984084,-0.39931449695799
"BBC Total (W)","phi",3.60971821824079,2.24304841557046,4.88856790502409
"Census (NI)","tau",0.359592895796627,0.0679035976618796,0.67303437971093
"Census (NI)","rho",2.61586192696338,2.4192404367728,2.79503942844481
"Census (NI)","delta",-0.534388299550323,-0.66204048071727,-0.408109872330347
"Census (NI)","phi",2.5114209589582,1.93370514107711,3.21615733243514
"BBC Total (NI)","tau",1.90900035084753,1.18121171973386,2.73767024524492
"BBC Total (NI)","rho",1.74968719248739,1.29665328065111,2.22007228926013
"BBC Total (NI)","delta",0.338068376243224,-0.0508972392478968,0.814293396688714
"BBC Total (NI)","phi",4.14869086067415,2.35593988402522,4.96276934451021
