LGD2014,Total,Age 0-4 years,Age 5-7 years,Age 8-9 years,Age 10-14 years,Age 15 years,Age 16-17 years,Age 18-19 years,Age 20-24 years,Age 25-29 years,Age 30-44 years,Age 45-59 years,Age 60-64 years,Age 65-74 years,Age 75-84 years,Age 85-89 years
N09000001,138567 ,9867 ,5366 ,3379 ,8923 ,1761 ,3754 ,3912 ,9099 ,8978 ,29418 ,26587 ,7337 ,11303 ,6640 ,1551 
N09000002,199693 ,15184 ,8060 ,4981 ,13295 ,2686 ,5743 ,4941 ,13265 ,13894 ,42433 ,37450 ,10134 ,15616 ,8900 ,2143 
N09000003,333871 ,21875 ,11112 ,6962 ,20094 ,4174 ,8976 ,11431 ,29768 ,27865 ,67767 ,60601 ,15020 ,24535 ,17071 ,4437 
N09000004,140877 ,8950 ,5068 ,3416 ,9437 ,1885 ,3957 ,4185 ,9689 ,8467 ,28607 ,27866 ,7653 ,12396 ,6858 ,1695 
N09000005,147720 ,10259 ,5653 ,3858 ,10904 ,2363 ,4729 ,4443 ,10399 ,10481 ,30635 ,28082 ,7475 ,10775 ,5876 ,1217 
N09000006,113161 ,7869 ,4402 ,2970 ,7945 ,1622 ,3505 ,2723 ,7136 ,7408 ,23165 ,22302 ,6175 ,8774 ,5198 ,1340 
N09000007,134841 ,9083 ,4845 ,3149 ,8602 ,1822 ,3687 ,3437 ,7845 ,7968 ,28470 ,27642 ,7107 ,11681 ,7098 ,1597 
N09000008,135338 ,8309 ,4907 ,3201 ,8523 ,1805 ,3718 ,3307 ,8281 ,7981 ,27398 ,27625 ,7892 ,12357 ,7435 ,1723 
N09000009,138590 ,10770 ,5810 ,3682 ,9686 ,2004 ,4190 ,3660 ,10107 ,10142 ,29956 ,24718 ,6474 ,9730 ,5618 ,1341 
N09000010,171533 ,12721 ,6876 ,4595 ,12287 ,2599 ,5260 ,4570 ,11570 ,11805 ,35122 ,32556 ,8624 ,12817 ,7453 ,1849 
N09000011,156672 ,9495 ,5563 ,3432 ,9338 ,1899 ,3921 ,3572 ,8854 ,9110 ,30976 ,32421 ,10399 ,15616 ,8577 ,2272 
